109,2/3/2021,"2,466.92",-6.81,-0.28%
110,2/2/2021,"2,473.74",65.49,2.72%
111,2/1/2021,"2,408.24",37.7,1.59%
112,1/31/2021,"2,370.55",-54.75,-2.26%
113,1/28/2021,"2,425.30",-16.55,-0.68%
114,1/27/2021,"2,441.85",18.76,0.77%
115,1/26/2021,"2,423.09",-17.79,-0.73%
116,1/25/2021,"2,440.88",16.04,0.66%
117,1/24/2021,"2,424.84",50.2,2.11%
118,1/21/2021,"2,374.64",31.87,1.36%
119,1/20/2021,"2,342.77",15.87,0.68%
120,1/19/2021,"2,326.90",-5.57,-0.24%
121,1/18/2021,"2,332.32",17.31,0.75%
122,1/17/2021,"2,315.01",28.46,1.24%
123,1/13/2021,"2,286.55",18.81,0.83%
124,1/12/2021,"2,267.74",28.31,1.26%
125,1/11/2021,"2,239.43",3.7,0.17%
126,1/10/2021,"2,235.73",41.24,1.88%
127,1/7/2021,"2,194.49",15.91,0.73%
128,1/6/2021,"2,178.57",13.07,0.60%
129,1/5/2021,"2,165.50",-3.54,-0.16%
130,1/4/2021,"2,169.04",-6.36,-0.29%
131,1/3/2021,"2,175.40",88.12,4.22%
132,12/31/2020,"2,087.28",25.21,1.22%
133,12/30/2020,"2,062.06",49.17,2.44%
134,12/29/2020,"2,012.89",5.57,0.28%
135,12/28/2020,"2,007.30",8.57,0.43%
136,12/27/2020,"1,998.65",-39.98,-1.96%
137,12/24/2020,"2,038.63",-29.83,-1.44%
138,12/23/2020,"2,068.46",7.04,0.34%
139,12/22/2020,"2,061.42",95.46,4.86%
140,12/21/2020,"1,965.96",30.33,1.57%
141,12/20/2020,"1,935.64",-96.88,-4.77%
142,12/17/2020,"2,032.52",-22.7,-1.10%
143,12/16/2020,"2,055.22",-6.2,-0.30%
144,12/15/2020,"2,061.42",-5.75,-0.28%
145,12/14/2020,"2,067.17",56.72,2.82%
146,12/13/2020,"2,010.45",46.43,2.36%
147,12/10/2020,"1,964.02",8.27,0.42%
148,12/9/2020,"1,955.75",-39.6,-1.98%
149,12/8/2020,"1,995.35",-9.04,-0.45%
150,12/7/2020,"2,004.39",72.28,3.74%
151,12/6/2020,"1,932.11",-123.34,-6.00%
152,12/3/2020,"2,055.46",-15.57,-0.75%
153,12/2/2020,"2,071.03",70.62,3.53%
154,12/1/2020,"2,000.40",3.35,0.17%
155,11/30/2020,"1,997.06",28.79,1.46%
156,11/29/2020,"1,968.27",75.02,3.96%
157,11/26/2020,"1,893.25",18.43,0.98%
158,11/25/2020,"1,874.82",64.7,3.57%
159,11/24/2020,"1,810.11",29.68,1.67%
160,11/23/2020,"1,780.43",-2.38,-0.13%
161,11/22/2020,"1,782.81",4.69,0.26%
162,11/19/2020,"1,778.13",36.32,2.08%
163,11/18/2020,"1,741.81",23.32,1.36%
164,11/12/2020,"1,718.50",10.82,0.63%
165,11/11/2020,"1,707.68",28.89,1.72%
166,11/10/2020,"1,678.79",25.98,1.57%
167,11/9/2020,"1,652.81",4.22,0.26%
168,11/8/2020,"1,648.58",12.49,0.76%
169,11/5/2020,"1,636.17",-4.47,-0.27%
170,11/4/2020,"1,640.64",-2.39,-0.15%
171,11/3/2020,"1,643.04",5.4,0.33%
172,11/2/2020,"1,637.63",-3.33,-0.20%
173,11/1/2020,"1,640.96",-4.72,-0.29%
174,10/29/2020,"1,645.68",-1.78,-0.11%
175,10/28/2020,"1,647.46",41.2,2.57%
176,10/22/2020,"1,606.26",8.54,0.53%
177,10/21/2020,"1,597.72",13.94,0.88%
178,10/20/2020,"1,583.61",13.22,0.84%
179,10/19/2020,"1,570.38",13.58,0.87%
180,10/18/2020,"1,556.80",-5.66,-0.36%
181,10/15/2020,"1,562.46",1.29,0.08%
182,10/14/2020,"1,561.17",-7.42,-0.47%
183,10/13/2020,"1,568.59",-9.42,-0.60%
184,10/12/2020,"1,578.01",1.74,0.11%
185,10/11/2020,"1,576.27",-13.37,-0.84%
186,10/8/2020,"1,589.64",-11.34,-0.71%
187,10/7/2020,"1,600.98",14.68,0.93%
188,10/6/2020,"1,586.29",4.17,0.26%
189,10/5/2020,"1,582.13",-3.63,-0.23%
190,10/4/2020,"1,585.76",14.71,0.94%
191,10/1/2020,"1,571.04",20.61,1.33%
192,9/30/2020,"1,550.43",-3.19,-0.21%
193,9/29/2020,"1,553.62",-7.21,-0.46%
194,9/28/2020,"1,560.83",-4.73,-0.30%
195,9/27/2020,"1,565.56",4.29,0.27%
196,9/24/2020,"1,561.27",5.74,0.37%
197,9/23/2020,"1,555.53",9.37,0.61%
